Case,NGCC profit (M$),SOFC profit (M$),NGCC+SOEC profit (M$),rSOC profit (M$),SOFC+SOEC profit (M$),SOEC profit (M$),Natural Gas Price ($/MMBtu),Carbon Tax ($/tonne),Hydrogen Price ($/kg),Mean LMP ($/MWh),Minimum LMP ($/MWh),25th Percentile ($/MWh),50th Percentile ($/MWh),75th Percentile ($/MWh),Maximum LMP ($/MWh),Standard Deviation ($/MWh),Skewness,Kurtosis,Bimodality Coefficient,Dip Test Statistic,Dip Test p-value
CAISO_NP15_2019_10,-123.1954036,-30.01195793,-180.4555246,-20.01546533,-37.2867359,-53.4947811,3.87,0,1,35.59410914,-43.3701,22.944475,30.83785,41.7378,1013.6738,37.84815484614774,13.816283398550494,281.6485924942907,0.6741283533763154,0.005257709,0.11659967555692774
CAISO_NP15_2022_10,37.50478563,170.8063814,-21.70349788,171.4670664,172.3014611,-66.32382122,7.47,0,1,89.63344005,-16.3892,51.30345,69.9768,91.973725,1971.8911,106.45004194502243,9.238668704164041,129.1292120117957,0.6535496436442156,0.004203258,0.41976264611541414
CAISO_ZP26_2019_10,-120.5008016,-28.43516988,-178.363576,-16.97140586,-34.43849541,-53.7457483,3.87,0,1,35.76289704,-36.4988,21.989275,30.680500000000002,41.652474999999995,1065.9115,38.854680144775536,14.037887277357704,289.04239893731693,0.6781970013001871,0.005209614,0.1262167986188205
CAISO_ZP26_2022_10,24.56132403,147.883212,-36.92804416,155.7611977,149.3513284,-64.08436179,7.47,0,1,84.2986175,-27.4744,45.008325,65.30625,86.917725,1976.5301,101.72950620207386,9.083343261163058,129.98669012262627,0.6279359590280418,0.003537333,0.7325853742871852
CAISO_SP15_2019_10,-122.772682,-30.77605116,-180.5722411,-19.13723331,-36.96933737,-53.56885216,3.87,0,1,35.31622978,-40.6231,21.907574999999998,30.81345,42.2941,980.3147,39.35168890699878,13.050125848249364,246.6358945718514,0.6862225680683918,0.005721276,0.057761912
CAISO_SP15_2022_10,11.41363622,132.7612775,-50.76743338,143.020493,133.8589378,-62.32292676,7.47,0,1,81.30118618,-35.0853,46.06545,65.96965,90.0033,1994.734,104.73332129636009,8.681443647594438,119.57217792484704,0.6230407674829862,0.004089906,0.47001498970469324
ERCOT_NORTH_2019_10,-121.254932,-37.58060975,-156.6088848,-22.32366074,-22.14391065,-36.83890485,2.39,0,1,27.53171447,-10.4186,16.181525,19.1182,24.5337,4696.8861,106.89900911601511,31.997491276935058,1178.307986104096,0.8675463639227672,0.003474165,0.7612364350976983
ERCOT_NORTH_2022_10,-90.43464638,4.813135476,-152.2937665,9.12516119,-11.18599025,-61.49314323,7.05,0,1,55.0601666,-464.7304,28.1067,44.2324,64.246875,5073.4436,130.8955277090478,25.905698192303298,819.6266283702148,0.8170233926930849,0.004782089,0.21768049461531314
ERCOT_SOUTH_2019_10,-123.4373278,-37.60879009,-159.1585928,-25.57818976,-24.74622361,-39.4885697,2.39,0,1,27.56735732,-50.289,16.821125,19.5852,24.84005,4694.8095,105.74692072777401,32.53129571761402,1210.8460937974237,0.8726684597657356,0.001490977,1
ERCOT_SOUTH_2022_10,-96.22365409,-2.540204899,-156.9713719,3.318020425,-19.07430075,-59.46672684,7.05,0,1,53.50807846,-31.1793,28.146175,43.3772,63.054075,4680.6634,114.07139699598348,25.236277613281306,817.1954926080365,0.7777044784119961,0.003803781,0.6050252958144049
ERCOT_WEST_2019_10,-120.391782,-41.007299,-155.0265797,-13.30729994,-19.20185686,-27.68248999,2.39,0,1,26.20113035,-24.6412,14.519225,18.79145,24.541349999999998,4697.196,107.59040617615692,31.66664281,1160.6460473616492,0.8626130508720405,0.005114604,0.1452150655019715
ERCOT_WEST_2022_10,-89.41281561,0.854227147,-152.6672243,26.55081387,-10.47568496,-40.20915222,7.05,0,1,50.38087806,-47.6123,22.81375,42.12905000000001,64.050475,5143.3014,132.18347943357335,25.502356731705095,807.5423241,0.803622685,0.03378391,0
ERCOT_HOUSTON_2019_10,-120.2623196,-34.12538779,-156.0934042,-22.68760974,-21.34156206,-40.53637421,2.39,0,1,28.19617263,-71.9689,16.90365,19.634,24.99815,4694.6368,107.06260461776567,31.596076216104894,1156.477019,0.8618644579291852,0.001605825,1
ERCOT_HOUSTON_2022_10,-60.9821364,38.60512212,-122.2300671,39.73904715,25.81273856,-64.29013461,7.05,0,1,61.97532545,-28.7943,30.784325000000003,46.5179,68.534975,4835.4304,146.3768601048923,20.395149102039138,525.1743385985717,0.7894402973093161,0.003361584,0.8101018052255515
ISO_NE_2019_10,-145.3675561,-70.77095628,-199.5450083,-59.83456298,-83.74208954,-50.99365458,4.5,0,1,30.67519406,-56.16,19.0475,24.55,35.94,261.35,20.56284339125194,2.8059063600923366,13.044474717022368,0.55303216,0.001763626,1
ISO_NE_2022_10,-51.452119,63.64741911,-109.4698592,59.62327469,40.71611823,-66.82272872,10.76,0,1,84.91544863,-150.91,49.545,65.87,98.705,2254.35,64.92805703574463,6.741013858851909,157.4969691113683,0.28935915801006856,0.002238656,0.9949995336255476
NYISO_2019_10,-161.2815648,-90.5323235,-214.358993,-57.54241969,-76.76194723,-24.60889073,3.05,0,1,20.09014155,-186.74,14.07,19.18,24.56,356.71,14.836953340569629,3.199738269238922,76.66791089,0.14106463776453704,0.001977464,0.9985040039016033
NYISO_2022_10,-86.48905151,4.022428947,-148.4083702,26.85722156,-8.581086737,-44.03086708,7.57,0,1,53.64449087,-410.7,24.7,43.98,66.5375,2829.46,73.75698402595674,15.112577798771689,457.6417776469631,0.49797916484190885,0.004132604,0.45108566953006957
MISO_INDIANA_2019_10,-150.7290933,-55.76236787,-197.7660646,-56.49690793,-61.98822093,-56.7873398,2.73,0,1,26.40543493,2.26,20.95,23.33,26.67,936.4,21.655392460577485,19.411674855496795,575.7270707666427,0.6528347122159597,0.002054795,0.9974664387667715
MISO_INDIANA_2022_10,-69.16092643,49.43241446,-131.6193613,45.03561509,37.63357233,-67.14841976,8.04,0,1,71.46314954,-4.43,44.347500000000004,58.254999999999995,81.5925,2411.71,70.27847010836423,14.636930973618837,366.39041915924304,0.5826890389208857,0.002469096,0.9919076783906898
MISO_LOUISIANA_2019_10,-156.5927654,-64.40877349,-206.8436668,-63.55173082,-68.42189158,-53.00350954,2.73,0,1,24.85890639,-31.26,20.1,22.67,25.822499999999998,968.31,18.64442941421564,23.633630175987825,909.8401734079443,0.6129752957808339,0.002349458,0.9935128832842557
MISO_LOUISIANA_2022_10,-105.2285015,2.386534552,-166.3174937,-2.775636799,-14.35839412,-67.15636502,8.04,0,1,62.47651027,-3.03,40.29,52.905,71.82,2009.43,60.16459619040922,16.37247419525965,397.4070159985257,0.6719610309611402,0.00181516,1
MISO_MINNESOTA_2019_10,-164.409681,-101.9657091,-218.6960761,-82.5894598,-102.3105629,-37.61005183,3.73,0,1,21.97139498,-38.56,17.17,20.185000000000002,23.66,661.22,16.960608870048418,19.593748831787366,593.6086388,0.645171672,0.001922149,0.9992461656831568
MISO_MINNESOTA_2022_10,-134.5665478,-60.2615029,-198.4246328,-47.70926952,-83.10181123,-56.20587167,8.04,0,1,44.09752968,-62.28,23.52,36.915,55.6825,1781.78,49.09342124545352,14.556839483622506,395.1689621907733,0.5347015864334105,0.001960582,0.9987305062158901
PJM_WEST_2019_10,-142.6590702,-46.96342302,-182.4321053,-46.0699506,-48.95393944,-53.29308129,2.43,0,1,26.37999397,-52.9956,19.622275000000002,23.121499999999997,27.567725,746.5853,22.954648915663324,17.222101698092235,426.53963429267793,0.692836617,0.002748634,0.977128157
PJM_WEST_2022_10,-33.75765876,91.28148257,-93.45185712,86.54517717,83.4063202,-67.06767886,7.04,0,1,74.25228529,-20.2954,44.427074999999995,58.14895,81.378875,3794.4313,118.22847138061746,19.78489554260548,478.58099009786116,0.8149036189158189,0.002474952,0.9918291019781109
SPP_NORTH_2019_10,-146.3529604,-79.34868924,-190.7631168,-34.72993367,-52.0793722,-14.38958705,2.75,0,1,20.18624632,-46.4777,12.281925000000001,16.905050000000003,21.62975,1130.7242,31.47075986484431,14.173063567631708,356.4228094357505,0.5616664429534933,0.002424025,0.9925124002154279
SPP_NORTH_2022_10,-127.5431111,-60.09801006,-196.0414408,-15.63322439,-79.75767061,-16.98916096,8.21,0,1,35.71421293,-102.7981,9.722150000000001,25.5635,52.368375,1161.6271,50.10174051,5.228412075566826,66.27828238795139,0.40902129578289237,0.001765843,1
SPP_SOUTH_2019_10,-140.9790015,-71.7755444,-188.069261,-27.51098716,-46.04234044,-16.83854734,2.83,0,1,21.48360128,-43.7243,12.858775,18.474249999999998,23.22445,1210.5837,35.31779996055542,13.093313628717091,308.23133410888596,0.5540408142826051,0.001628786,1
SPP_SOUTH_2022_10,-76.78842923,7.506686397,-148.9034572,40.62963128,-1.483591926,-38.73859081,7.61,0,1,52.4426684,-38.083,19.2189,40.44085,69.956125,1356.8784,60.53112497569225,4.115521762048654,45.552362200248716,0.36944689323075136,0.001709504,1
MiNg_$100_CAISO_2035_10,51.86618945,130.8438301,15.41752909,184.4728609,171.382134,-25.28905703,2.26,100,1,52.97257669,0,1.17,73.58500000000001,91.23,178.28,43.72157309574579,-0.199731517,-1.568262256,0.726315055,0.15673509609290442,0
MiNg_$150_CAISO_2035_10,31.38078023,101.135101,0.889187123,180.0743276,157.0172379,5.263745603,2.26,150,1,45.34645604,0,0,1.53,105.405,203.01,53.739462859248846,0.44352037564348973,-1.643399563,0.8821391261230535,0.11692429673935797,0
MiNg_$100_ERCOT_2035_10,-55.73354711,18.50913219,-96.89430028,85.72887722,55.96685679,-4.242977383,2.64,100,1,33.66061126,0,0,30.384999999999998,70.13,186.42,35.29948972964008,0.4824712165993762,-0.945428853,0.6000174180734089,0.07461005,0
MiNg_$150_ERCOT_2035_10,-23.2813038,45.59650186,-62.35320643,128.8463518,95.57794278,16.75040077,2.64,150,1,36.18433265,0,0,0.18,92.95,204.49,46.60424919,0.6604646216640918,-1.313764678,0.8517278090465525,0.095942041,0
MiNg_$100_MISO-W_2035_10,-27.17571321,44.04811322,-49.59919649,111.0744632,91.08147821,1.559750647,1.69,100,1,35.12351419,0,0,42.120000000000005,69.24,145.07,34.44889839569727,0.14289107774971904,-1.714727084,0.7939308823698538,0.10022201986660868,0
MiNg_$150_MISO-W_2035_10,-53.10631839,10.38669974,-73.90266376,102.4464021,70.86068875,30.32646012,2.01,150,1,28.1322516,0,0,0.25,70.01,162.06,40.39157473541102,0.9197257965696849,-0.924047432,0.8891800175644858,0.061314676,0
MiNg_$100_NYISO_2035_10,-8.565812299,56.6448684,-14.31849916,136.4966882,120.0275899,8.199970716,1.12,100,1,35.21884386,0,0,1.41,74.6625,182.14,40.060587156059874,0.487903694,-1.195248043,0.6859945543652568,0.11454557808724476,0
MiNg_$150_NYISO_2035_10,-8.282207536,52.42128159,-5.387839875,149.589288,130.0249371,26.03579806,1.14,150,1,33.67239469,0,0,0.27,92.62,229.17,48.60695819851639,0.9018003831870772,-0.82216734,0.8325910269186236,0.086154364,0
MiNg_$100_PJM-W_2035_10,32.05098539,111.5527396,4.583645218,147.6320196,144.6035789,-34.3506487,1.42,100,1,48.01168613,0,8.06,63.575,76.9025,172.29,33.47553680154361,-0.325040878,-1.426971765,0.7028809447458344,0.11682312361339166,0
MiNg_$150_PJM-W_2035_10,52.56338635,126.7467141,33.02943675,180.3722432,176.2715139,-13.82713583,1.43,150,1,49.81408539,0,0.15,47.84,98.48,181.06,45.76401897083746,0.10680067241459695,-1.756959421,0.8136551621389039,0.10977281247834937,0
BaseCase_2030_10,-120.2608738,-33.20322003,-171.1668158,-16.64519025,-27.85391021,-44.74845343,2.94,0,1,30.24979611,-113.2815717,19.02499997,24.12941557,30.09999988,1349.591575,80.52677745587096,12.483072044651925,162.05543156617773,0.9501479968509352,0.03618715,0
HighWind_2030_10,-120.260872,-33.20322062,-171.1666697,-16.64518906,-27.83261571,-44.74845231,2.94,0,1,30.24979597,-111.28657,19.02499999,24.12941556,30.09999996,1349.591576,80.52677719,12.483072124734374,162.0554335919048,0.9501479973029617,0.036187199,0
HighSolar_2030_10,-116.8734437,-33.56898157,-170.7508117,-15.3697943,-25.25695988,-41.46125217,2.94,0,1,30.12822897,-111.28657,18.772,22.773,27.41026977,1800,91.83552866865547,14.24656195,224.05595077997222,0.8983007342145813,0.046175794,0
WinterNY_2030_10,-38.10193382,65.16722757,-86.9358547,72.96624296,65.09761503,-65.99529838,2.94,60,1,48.00396996,1.36E-08,21.54800309,23.72600036,28.242722507499998,4257.425614,81.72771365141722,31.535825355584617,1215.074841849087,0.8172800608431512,0.035635328,0
BaseCaseTax_2030_10,-34.41676043,65.85214542,-83.09420916,79.57945346,70.13997508,-64.60893282,2.94,60,1,47.68705371,-1.02E-07,37.342000247499996,43.40000132,47.28000003,1800.000025,82.48000355917897,15.415703576412712,277.5773598616151,0.8505458775202903,0.058925709405332066,0
HighWindTax_2030_10,-36.90980187,56.43573378,-85.20606242,83.95289663,69.43707188,-56.0008944,2.94,60,1,45.06063183,,36.58899998,43.4000026,48.71099863,1800.000003,89.50970240174364,15.12899956041197,263.4350974668109,0.8628241169599735,0.091323837,0
HighSolarTax_2030_10,-37.86658452,56.66770078,-86.37122503,80.3492128,67.32749171,-56.67101154,2.94,60,1,45.43378918,,34.153745615000005,40.09999998,47.73100015,1800,85.87509981064812,13.872710677018418,229.21842909209568,0.8330609344167922,0.065325506,0
WinterNYTax_2030_10,-38.10193382,65.16722757,-86.9358547,72.96624296,65.09761503,-65.99529838,2.94,60,1,48.00396996,,44.03599916,46.22400126,51.96499927,1800.000005,44.47361882163016,22.442514551283264,734.2625827964481,0.6845138640704558,0.035512274,0
BaseCaseCapRes_2030_10,-170.99931,-95.568419,-221.44,-84.286682,-89.486354,-35.775054,2.94,0,1,20.1098611,-330.00789,17.74400002,19.98099997,23.24599975,111.6506992,8.713280478730136,-16.80026372,641.2076537359163,0.43968565029194806,0.052328648,0
HighWindCapRes_2030_10,-170.999307,-95.5684177,-221.44,-84.28668069,-89.48620489,-35.77505437,2.94,0,1,20.10986133,,17.74400006,19.98099999,23.24599993,111.6506988,8.713280579299576,-16.80026318,641.2076066568425,0.4396856541081518,0.052328708,0
HighSolarCapRes_2030_10,-169.6217719,-95.79928228,-232.474852,-82.02891902,-87.79141226,-33.52012301,2.94,0,1,19.96012651,,17.68400057,19.61800056,22.21099469,123.8209637,8.821199767234633,-4.116510706,250.0569619419753,0.070915498,0.058773988298358726,0
WinterNYCapRes_2030_10,-165.4234291,-84.33870814,-217.5656776,-80.99814666,-83.79605276,-44.36584139,2.94,0,1,22.35654316,,19.02499998,20.52499997,23.66005472,135.5121691,9.704724985169927,6.377681674423618,56.93429715389215,0.6953418246195695,0.030059282126090138,0
BaseCaseTaxCapRes_2030_10,-73.76836897,26.81958804,-122.4370032,40.18345052,27.03564462,-62.87053263,2.94,60,1,40.85208675,-1.44E-06,37.34199985,40.10000002,45.54099967,209.1004493,23.245874475152196,2.2171264078969117,13.800246249707566,0.3521168333289659,0.060626954067121964,0
HighWindTaxCapRes_2030_10,-81.82094488,12.62705269,-130.1428838,38.24061577,20.06588077,-55.83852972,2.94,60,1,37.48910137,,36.58900079,40.10000003,46.57699799,202.8804025,23.91117435451686,1.2748867343083532,8.244159548721973,0.23348443020037163,0.087720608,0
HighSolarTaxCapRes_2030_10,-78.33970947,16.08388596,-126.8407609,40.04724625,23.038473,-53.73056277,2.94,60,1,38.28499219,-1.950964584,33.02505928,39.91199741,46.68399988,205.2991611,25.239165112457517,1.6090956622982677,9.191508808171285,0.2944007101091104,0.064112568,0
WinterNYTaxCapRes_2030_10,-70.73421356,30.97535963,-119.522331,41.4545561,29.62192847,-63.45792192,2.94,60,1,41.8251288,,37.717998875000006,43.68300016,47.43368014,223.2342364,21.034856881325254,1.7694456849176436,10.49590550327123,0.306088245,0.045315808,0
ERCOT_0_10,,,,,,,,,,,,28.012327974999998,30.365795605000002,34.8673739,2746.388168,30.80413082,78.77210216225286,6907.651894382451,0.8980403258490256,0.00963471,1.555726894797438e-05
ERCOT_100_10,,,,,,,,,,,,52.662973,67.73639667500001,75.72674246,2972.410939,50.95937623522441,40.25368849111141,2152.5684412488513,0.7521725620551782,0.019576746,0
CAISO_100_10,,,,,,,,,,,,1.17,73.58500000000001,91.23,178.28,43.72157309574579,-0.199731517,-1.568262256,0.726315055,0.15673509609290442,0
NETL_ERCOT_GEN_0_10,-166.350018,-76.37192128,-218.0109424,-76.80230262,-96.94266384,-64.22407593,4.42,0,1,31.13969033,,27.87045202,30.13944616,34.365725517499996,193.1370069,8.657796893577247,1.346379767163302,27.21281874141448,0.093097519,0.010027232301213948,5.53370737865766e-06
NETL_ERCOT_GEN_25_10,-139.0831584,-23.67068896,-193.0319961,-26.88180112,-41.03525785,-66.15437829,4.42,27.55775,1,40.70200444,,34.753177872500004,40.66943741,45.85093827,345.5538373,11.920047732583697,4.102797904,88.41411861764892,0.19507873522929492,0.012511186003484104,0
NETL_ERCOT_GEN_50_10,-98.09194354,20.38760626,-151.5564939,17.07495709,7.128405201,-66.22342594,4.42,55.1155,1,48.45455269,,41.41961172,50.322606730000004,54.47814482,841.2453115,17.649963340753068,12.840916687292214,513.1168562,0.3214177939933188,0.023308461,0
NETL_ERCOT_GEN_100_10,-9.801910824,110.8451537,-62.05615304,107.530805,106.2097803,-66.26097501,4.42,110.231,1,64.34097498,,52.69122853,67.53422322,75.22030767,1167.406372,27.201464134009424,11.419082123627302,386.90727805156916,0.3369914950106836,0.022238920685911705,0
NETL_ERCOT_GEN_250_10,257.2925018,377.9510425,203.6720423,374.4667926,398.7118636,-66.37137293,4.42,275.5775,1,111.2647832,,80.88683102249999,125.2687055,140.1447629,1289.150704,56.15354635764502,4.567944554539601,90.93322463,0.23278363476275515,0.038743732,0