Case,25th Percentile ($/MWh),50th Percentile ($/MWh),75th Percentile ($/MWh),Maximum LMP ($/MWh),Standard Deviation ($/MWh),Skewness,Kurtosis,Bimodality Coefficient,Dip Test Statistic,Dip Test p-value
CAISO_NP15_2019_10,22.944475,30.83785,41.7378,1013.6738,37.84815484614774,13.816283398550494,281.6485924942907,0.6741283533763154,0.005257708664296397,0.11659967555692774
CAISO_NP15_2022_10,51.30345,69.9768,91.973725,1971.8911,106.45004194502243,9.238668704164041,129.1292120117957,0.6535496436442156,0.00420325772908404,0.41976264611541414
CAISO_ZP26_2019_10,21.989275,30.680500000000002,41.652474999999995,1065.9115,38.854680144775536,14.037887277357704,289.04239893731693,0.6781970013001871,0.005209613759620409,0.1262167986188205
CAISO_ZP26_2022_10,45.008325,65.30625,86.917725,1976.5301,101.72950620207386,9.083343261163058,129.98669012262627,0.6279359590280418,0.003537333000468746,0.7325853742871852
CAISO_SP15_2019_10,21.907574999999998,30.81345,42.2941,980.3147,39.35168890699878,13.050125848249364,246.6358945718514,0.6862225680683918,0.005721275721817039,0.05776191190112678
CAISO_SP15_2022_10,46.06545,65.96965,90.0033,1994.734,104.73332129636009,8.681443647594438,119.57217792484704,0.6230407674829862,0.0040899064496028115,0.47001498970469324
ERCOT_NORTH_2019_10,16.181525,19.1182,24.5337,4696.8861,106.89900911601511,31.997491276935058,1178.307986104096,0.8675463639227672,0.0034741645744321673,0.7612364350976983
ERCOT_NORTH_2022_10,28.1067,44.2324,64.246875,5073.4436,130.8955277090478,25.905698192303298,819.6266283702148,0.8170233926930849,0.004782088915421922,0.21768049461531314
ERCOT_SOUTH_2019_10,16.821125,19.5852,24.84005,4694.8095,105.74692072777401,32.53129571761402,1210.8460937974237,0.8726684597657356,0.0014909773188372054,1.0
ERCOT_SOUTH_2022_10,28.146175,43.3772,63.054075,4680.6634,114.07139699598348,25.236277613281306,817.1954926080365,0.7777044784119961,0.0038037814846298844,0.6050252958144049
ERCOT_WEST_2019_10,14.519225,18.79145,24.541349999999998,4697.196,107.59040617615692,31.6666428130584,1160.6460473616492,0.8626130508720405,0.005114604074408551,0.1452150655019715
ERCOT_WEST_2022_10,22.81375,42.12905000000001,64.050475,5143.3014,132.18347943357335,25.502356731705095,807.542324067923,0.803622685120339,0.03378391035139074,0.0
ERCOT_HOUSTON_2019_10,16.90365,19.634,24.99815,4694.6368,107.06260461776567,31.596076216104894,1156.47701875881,0.8618644579291852,0.0016058251915631212,1.0
ERCOT_HOUSTON_2022_10,30.784325000000003,46.5179,68.534975,4835.4304,146.3768601048923,20.395149102039138,525.1743385985717,0.7894402973093161,0.0033615836015100818,0.8101018052255515
ISO_NE_2019_10,19.0475,24.55,35.94,261.35,20.56284339125194,2.8059063600923366,13.044474717022368,0.553032159550397,0.0017636263799780322,1.0
ISO_NE_2022_10,49.545,65.87,98.705,2254.35,64.92805703574463,6.741013858851909,157.4969691113683,0.28935915801006856,0.0022386559257708536,0.9949995336255476
NYISO_2019_10,14.07,19.18,24.56,356.71,14.836953340569629,3.199738269238922,76.6679108933802,0.14106463776453704,0.0019774635439681245,0.9985040039016033
NYISO_2022_10,24.7,43.98,66.5375,2829.46,73.75698402595674,15.112577798771689,457.6417776469631,0.49797916484190885,0.004132604212697013,0.45108566953006957
MISO_INDIANA_2019_10,20.95,23.33,26.67,936.4,21.655392460577485,19.411674855496795,575.7270707666427,0.6528347122159597,0.002054794520547899,0.9974664387667715
MISO_INDIANA_2022_10,44.347500000000004,58.254999999999995,81.5925,2411.71,70.27847010836423,14.636930973618837,366.39041915924304,0.5826890389208857,0.00246909561261867,0.9919076783906898
MISO_LOUISIANA_2019_10,20.1,22.67,25.822499999999998,968.31,18.64442941421564,23.633630175987825,909.8401734079443,0.6129752957808339,0.0023494577625571326,0.9935128832842557
MISO_LOUISIANA_2022_10,40.29,52.905,71.82,2009.43,60.16459619040922,16.37247419525965,397.4070159985257,0.6719610309611402,0.0018151600003660335,1.0
MISO_MINNESOTA_2019_10,17.17,20.185000000000002,23.66,661.22,16.960608870048418,19.593748831787366,593.608638786781,0.645171672448296,0.0019221493343623615,0.9992461656831568
MISO_MINNESOTA_2022_10,23.52,36.915,55.6825,1781.78,49.09342124545352,14.556839483622506,395.1689621907733,0.5347015864334105,0.0019605820542443835,0.9987305062158901
PJM_WEST_2019_10,19.622275000000002,23.121499999999997,27.567725,746.5853,22.954648915663324,17.222101698092235,426.53963429267793,0.692836616554582,0.002748634170377609,0.97712815709663
PJM_WEST_2022_10,44.427074999999995,58.14895,81.378875,3794.4313,118.22847138061746,19.78489554260548,478.58099009786116,0.8149036189158189,0.002474952007091528,0.9918291019781109
SPP_NORTH_2019_10,12.281925000000001,16.905050000000003,21.62975,1130.7242,31.47075986484431,14.173063567631708,356.4228094357505,0.5616664429534933,0.002424024968187587,0.9925124002154279
SPP_NORTH_2022_10,9.722150000000001,25.5635,52.368375,1161.6271,50.1017405129174,5.228412075566826,66.27828238795139,0.40902129578289237,0.001765842642070059,1.0
SPP_SOUTH_2019_10,12.858775,18.474249999999998,23.22445,1210.5837,35.31779996055542,13.093313628717091,308.23133410888596,0.5540408142826051,0.001628785970333604,1.0
SPP_SOUTH_2022_10,19.2189,40.44085,69.956125,1356.8784,60.53112497569225,4.115521762048654,45.552362200248716,0.36944689323075136,0.0017095040459721028,1.0
MiNg_$100_CAISO_2035_10,1.17,73.58500000000001,91.23,178.28,43.72157309574579,-0.19973151655377913,-1.5682622560091284,0.726315055302127,0.15673509609290442,0.0
MiNg_$150_CAISO_2035_10,0.0,1.53,105.405,203.01,53.739462859248846,0.44352037564348973,-1.6433995634334806,0.8821391261230535,0.11692429673935797,0.0
MiNg_$100_ERCOT_2035_10,0.0,30.384999999999998,70.13,186.42,35.29948972964008,0.4824712165993762,-0.945428853040299,0.6000174180734089,0.07461004952767192,0.0
MiNg_$150_ERCOT_2035_10,0.0,0.18,92.95,204.49,46.6042491903883,0.6604646216640918,-1.3137646778521548,0.8517278090465525,0.09594204131963965,0.0
MiNg_$100_MISO-W_2035_10,0.0,42.120000000000005,69.24,145.07,34.44889839569727,0.14289107774971904,-1.7147270842336206,0.7939308823698538,0.10022201986660868,0.0
MiNg_$150_MISO-W_2035_10,0.0,0.25,70.01,162.06,40.39157473541102,0.9197257965696849,-0.9240474320017298,0.8891800175644858,0.06131467646355187,0.0
MiNg_$100_NYISO_2035_10,0.0,1.41,74.6625,182.14,40.060587156059874,0.487903694165621,-1.1952480425649823,0.6859945543652568,0.11454557808724476,0.0
MiNg_$150_NYISO_2035_10,0.0,0.27,92.62,229.17,48.60695819851639,0.9018003831870772,-0.8221673396756612,0.8325910269186236,0.0861543641881233,0.0
MiNg_$100_PJM-W_2035_10,8.06,63.575,76.9025,172.29,33.47553680154361,-0.3250408776072453,-1.4269717647339295,0.7028809447458344,0.11682312361339166,0.0
MiNg_$150_PJM-W_2035_10,0.15,47.84,98.48,181.06,45.76401897083746,0.10680067241459695,-1.756959421274406,0.8136551621389039,0.10977281247834937,0.0
BaseCase_2030_10,19.02499997,24.12941557,30.099999875,1349.591575,80.52677745587096,12.483072044651925,162.05543156617773,0.9501479968509352,0.03618714991638831,0.0
HighWind_2030_10,19.02499999,24.12941556,30.0999999625,1349.591576,80.5267771910457,12.483072124734374,162.0554335919048,0.9501479973029617,0.0361871987949361,0.0
HighSolar_2030_10,18.772,22.773,27.41026977,1800.0,91.83552866865547,14.246561946429,224.05595077997222,0.8983007342145813,0.04617579405331067,0.0
WinterNY_2030_10,21.5480030925,23.72600036,28.242722507499998,4257.425614,81.72771365141722,31.535825355584617,1215.074841849087,0.8172800608431512,0.03563532831254872,0.0
BaseCaseTax_2030_10,37.342000247499996,43.40000132,47.2800000325,1800.000025,82.48000355917897,15.415703576412712,277.5773598616151,0.8505458775202903,0.058925709405332066,0.0
HighWindTax_2030_10,36.58899998,43.4000026,48.710998625,1800.000003,89.50970240174364,15.12899956041197,263.4350974668109,0.8628241169599735,0.09132383742188464,0.0
HighSolarTax_2030_10,34.153745615000005,40.09999998,47.7310001525,1800.0,85.87509981064812,13.872710677018418,229.21842909209568,0.8330609344167922,0.06532550627186183,0.0
WinterNYTax_2030_10,44.03599916,46.22400126,51.96499927,1800.000005,44.47361882163016,22.442514551283264,734.2625827964481,0.6845138640704558,0.03551227446162491,0.0
BaseCaseCapRes_2030_10,17.74400002,19.98099997,23.24599975,111.6506992,8.713280478730136,-16.800263722808833,641.2076537359163,0.43968565029194806,0.05232864789060888,0.0
HighWindCapRes_2030_10,17.74400006,19.98099999,23.24599993,111.6506988,8.713280579299576,-16.800263179913603,641.2076066568425,0.4396856541081518,0.05232870820517079,0.0
HighSolarCapRes_2030_10,17.6840005675,19.61800056,22.21099469,123.8209637,8.821199767234633,-4.116510705968154,250.0569619419753,0.07091549765963476,0.058773988298358726,0.0
WinterNYCapRes_2030_10,19.02499998,20.52499997,23.6600547225,135.5121691,9.704724985169927,6.377681674423618,56.93429715389215,0.6953418246195695,0.030059282126090138,0.0
BaseCaseTaxCapRes_2030_10,37.34199985,40.10000002,45.54099967,209.1004493,23.245874475152196,2.2171264078969117,13.800246249707566,0.3521168333289659,0.060626954067121964,0.0
HighWindTaxCapRes_2030_10,36.58900079,40.10000003,46.5769979875,202.8804025,23.91117435451686,1.2748867343083532,8.244159548721973,0.23348443020037163,0.08772060777206245,0.0
HighSolarTaxCapRes_2030_10,33.0250592825,39.91199741,46.68399988,205.2991611,25.239165112457517,1.6090956622982677,9.191508808171285,0.2944007101091104,0.06411256838836218,0.0
WinterNYTaxCapRes_2030_10,37.717998875000006,43.68300016,47.433680135,223.2342364,21.034856881325254,1.7694456849176436,10.49590550327123,0.306088245125337,0.04531580801388978,0.0
ERCOT_0_10,28.012327974999998,30.365795605000002,34.8673739025,2746.388168,30.8041308196312,78.77210216225286,6907.651894382451,0.8980403258490256,0.009634710179427691,1.555726894797438e-05
ERCOT_100_10,52.662973,67.73639667500001,75.7267424625,2972.410939,50.95937623522441,40.25368849111141,2152.5684412488513,0.7521725620551782,0.01957674601559294,0.0
CAISO_100_10,1.17,73.58500000000001,91.23,178.28,43.72157309574579,-0.19973151655377913,-1.5682622560091284,0.726315055302127,0.15673509609290442,0.0
NETL_ERCOT_GEN_0_10,27.8704520175,30.139446155,34.365725517499996,193.1370069,8.657796893577247,1.346379767163302,27.21281874141448,0.09309751935098734,0.010027232301213948,5.53370737865766e-06
NETL_ERCOT_GEN_25_10,34.753177872500004,40.66943741,45.850938265,345.5538373,11.920047732583697,4.10279790411759,88.41411861764892,0.19507873522929492,0.012511186003484104,0.0
NETL_ERCOT_GEN_50_10,41.419611715,50.322606730000004,54.4781448175,841.2453115,17.649963340753068,12.840916687292214,513.11685622305,0.3214177939933188,0.02330846118137076,0.0
NETL_ERCOT_GEN_100_10,52.6912285275,67.53422322,75.220307665,1167.406372,27.201464134009424,11.419082123627302,386.90727805156916,0.3369914950106836,0.022238920685911705,0.0
NETL_ERCOT_GEN_250_10,80.88683102249999,125.2687055,140.14476285,1289.150704,56.15354635764502,4.567944554539601,90.9332246256622,0.23278363476275515,0.03874373245576161,0.0
